organism,drug,year,p10,p25,median,p75,p90
A. baumannii,Polymyxin B MIC (mcg/ml),2022.0,0.06,0.125,0.25,0.5,0.5
Achromobacter insolitus,Tigecycline,2019.0,0.12,0.12,0.185,0.25,0.25
Achromobacter xylosoxidans,Tigecycline,2018.0,0.5,0.5,0.5,0.75,0.9
Achromobacter xylosoxidans,Tigecycline,2019.0,0.5,0.5,1.0,1.5,2.0
Achromobacter xylosoxidans,Tigecycline,2023.0,1.0,1.0,1.0,1.0,1.0
Acidaminococcus fermentans,Tigecycline,2019.0,0.03,0.03,0.03,0.03,0.03
Acinetobacter alcaligenes,Tigecycline,2009.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter anitratus,Tigecycline,2004.0,0.12,0.12,0.25,1.0,1.0
Acinetobacter anitratus,Tigecycline,2005.0,0.12,0.2175,0.25,0.625,1.0
Acinetobacter anitratus,Tigecycline,2007.0,0.6,0.75,1.0,1.5,1.8
Acinetobacter anitratus,Tigecycline,2008.0,2.0,2.0,2.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2004.0,0.06,0.12,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2005.0,0.06,0.12,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2006.0,0.12,0.12,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2007.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2008.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2009.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2010.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2011.0,0.06,0.12,0.25,0.5,1.0
Acinetobacter baumannii,Tigecycline,2012.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2013.0,0.12,0.25,1.0,1.0,2.0
Acinetobacter baumannii,Tigecycline,2014.0,0.12,0.25,1.0,1.0,2.0
Acinetobacter baumannii,Tigecycline,2015.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2016.0,0.12,0.25,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2017.0,0.11400000000000034,0.12,0.5,1.0,1.0
Acinetobacter baumannii,Tigecycline,2018.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter baumannii,Tigecycline,2019.0,0.12,0.25,1.0,1.0,2.0
Acinetobacter baumannii,Tigecycline,2020.0,0.12,0.25,1.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2021.0,0.12,0.5,1.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2022.0,0.12,0.25,1.0,2.0,2.0
Acinetobacter baumannii,Tigecycline,2023.0,0.12,0.25,1.0,2.0,2.0
Acinetobacter baylyi,Tigecycline,2013.0,0.03,0.0975,0.12,0.25,0.32499999999999996
Acinetobacter baylyi,Tigecycline,2014.0,0.158,0.215,0.31,0.405,0.462
Acinetobacter baylyi,Tigecycline,2015.0,0.066,0.12,0.12,0.25,0.4750000000000001
Acinetobacter baylyi,Tigecycline,2016.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter baylyi,Tigecycline,2017.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter baylyi,Tigecycline,2018.0,0.056999999999999995,0.06,0.09,0.2175,0.25
Acinetobacter baylyi,Tigecycline,2019.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter baylyi,Tigecycline,2020.0,0.11399999999999999,0.12,0.12,0.2175,1.299999999999999
Acinetobacter baylyi,Tigecycline,2021.0,0.072,0.09,0.12,0.31,0.42400000000000004
Acinetobacter beijerinckii,Tigecycline,2019.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter beijerinckii,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter beijerinckii,Tigecycline,2021.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter beijerinckii,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.25
Acinetobacter beijerinckii,Tigecycline,2023.0,0.12,0.12,0.12,0.12,0.15899999999999997
Acinetobacter bereziniae,Tigecycline,2018.0,0.12,0.12,0.25,0.4375,1.0
Acinetobacter bereziniae,Tigecycline,2019.0,0.06,0.12,0.12,0.12,0.5
Acinetobacter bereziniae,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter bereziniae,Tigecycline,2021.0,0.12,0.12,0.12,0.25,1.0
Acinetobacter bereziniae,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.5
Acinetobacter bereziniae,Tigecycline,2023.0,0.12,0.12,0.25,0.375,1.0
Acinetobacter calcoaceticus,Tigecycline,2004.0,0.12,0.12,0.25,0.625,2.0
Acinetobacter calcoaceticus,Tigecycline,2005.0,0.508,1.0899999999999999,2.06,3.0300000000000002,3.612
Acinetobacter calcoaceticus,Tigecycline,2006.0,0.5,0.5,0.5,2.25,3.3000000000000003
Acinetobacter calcoaceticus,Tigecycline,2007.0,0.08399999999999999,0.12,1.0,1.0,1.0
Acinetobacter calcoaceticus,Tigecycline,2008.0,1.25,2.375,4.25,6.125,7.25
Acinetobacter calcoaceticus,Tigecycline,2011.0,0.066,0.075,0.09,0.105,0.11399999999999999
Acinetobacter calcoaceticus,Tigecycline,2012.0,0.12,0.25,0.5,0.5,1.0
Acinetobacter calcoaceticus,Tigecycline,2013.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter calcoaceticus,Tigecycline,2014.0,0.06,0.06,0.12,0.12,0.17200000000000004
Acinetobacter calcoaceticus,Tigecycline,2015.0,0.06,0.06,0.12,0.625,1.0
Acinetobacter calcoaceticus,Tigecycline,2016.0,0.06,0.06,0.09,0.12,0.12
Acinetobacter calcoaceticus,Tigecycline,2017.0,0.06,0.06,0.06,0.12,0.19799999999999995
Acinetobacter calcoaceticus,Tigecycline,2018.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter calcoaceticus,Tigecycline,2019.0,0.06,0.12,0.12,0.12,0.25
Acinetobacter calcoaceticus,Tigecycline,2020.0,0.06,0.12,0.12,0.12,0.12
Acinetobacter calcoaceticus,Tigecycline,2021.0,0.12,0.12,0.12,0.12,0.19800000000000018
Acinetobacter calcoaceticus,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter calcoaceticus,Tigecycline,2023.0,0.12,0.12,0.25,0.25,0.2999999999999998
Acinetobacter colistiniresistens,Tigecycline,2021.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter colistiniresistens,Tigecycline,2022.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter courvalinii,Tigecycline,2019.0,0.12,0.12,0.185,0.25,0.32499999999999996
Acinetobacter courvalinii,Tigecycline,2020.0,0.12,0.12,0.12,0.25,1.3000000000000003
Acinetobacter courvalinii,Tigecycline,2021.0,0.25,0.25,0.375,0.625,0.8500000000000001
Acinetobacter courvalinii,Tigecycline,2022.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter courvalinii,Tigecycline,2023.0,0.25,0.25,0.25,0.25,0.5
Acinetobacter dijkshoorniae,Tigecycline,2018.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter dijkshoorniae,Tigecycline,2019.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter dijkshoorniae,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter dijkshoorniae,Tigecycline,2021.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter dispersus,Tigecycline,2019.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter dispersus,Tigecycline,2020.0,0.098,0.155,0.25,0.25,0.25
Acinetobacter dispersus,Tigecycline,2021.0,0.158,0.215,0.31,0.405,0.462
Acinetobacter dispersus,Tigecycline,2022.0,0.12,0.12,0.185,0.3125,0.42500000000000004
Acinetobacter dispersus,Tigecycline,2023.0,0.146,0.185,0.25,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2010.0,0.5,0.5,0.5,0.5,0.5
Acinetobacter guillouiae,Tigecycline,2011.0,0.06,0.06,0.06,0.09,0.108
Acinetobacter guillouiae,Tigecycline,2012.0,0.06,0.12,0.12,0.375,0.5
Acinetobacter guillouiae,Tigecycline,2013.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2014.0,0.06,0.06,0.12,0.2175,0.5
Acinetobacter guillouiae,Tigecycline,2015.0,0.06,0.06,0.12,0.25,0.5
Acinetobacter guillouiae,Tigecycline,2016.0,0.051000000000000004,0.06,0.06,0.12,0.12
Acinetobacter guillouiae,Tigecycline,2017.0,0.06,0.06,0.12,0.12,0.12
Acinetobacter guillouiae,Tigecycline,2018.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter guillouiae,Tigecycline,2019.0,0.057,0.06,0.12,0.25,0.5500000000000007
Acinetobacter guillouiae,Tigecycline,2020.0,0.06,0.12,0.12,0.12,0.2999999999999998
Acinetobacter guillouiae,Tigecycline,2021.0,0.06,0.09,0.12,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter guillouiae,Tigecycline,2023.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter gyllenbergii,Tigecycline,2022.0,0.12,0.12,0.25,0.25,0.7000000000000001
Acinetobacter gyllenbergii,Tigecycline,2023.0,0.12,0.12,0.185,0.25,0.25
Acinetobacter haemolyticus,Tigecycline,2005.0,0.066,0.075,0.09,0.105,0.11399999999999999
Acinetobacter haemolyticus,Tigecycline,2006.0,0.12,0.12,0.12,0.12,0.31
Acinetobacter haemolyticus,Tigecycline,2007.0,0.048,0.09,0.12,0.375,0.5
Acinetobacter haemolyticus,Tigecycline,2008.0,0.12,0.25,0.25,0.5,0.5
Acinetobacter haemolyticus,Tigecycline,2009.0,0.09600000000000002,0.195,0.375,0.5,0.5
Acinetobacter haemolyticus,Tigecycline,2010.0,0.12,0.1525,0.375,0.875,2.0
Acinetobacter haemolyticus,Tigecycline,2011.0,0.08399999999999999,0.12,0.12,0.25,0.7000000000000001
Acinetobacter haemolyticus,Tigecycline,2012.0,0.114,0.2175,0.25,0.5,0.5500000000000007
Acinetobacter haemolyticus,Tigecycline,2013.0,0.06,0.12,0.185,0.25,0.25
Acinetobacter haemolyticus,Tigecycline,2014.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter haemolyticus,Tigecycline,2015.0,0.07200000000000001,0.12,0.25,0.25,0.5
Acinetobacter haemolyticus,Tigecycline,2016.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter haemolyticus,Tigecycline,2017.0,0.12,0.12,0.12,0.5,0.5500000000000007
Acinetobacter haemolyticus,Tigecycline,2018.0,0.06,0.12,0.25,0.25,0.25
Acinetobacter haemolyticus,Tigecycline,2019.0,0.12,0.185,0.25,0.5,0.5
Acinetobacter haemolyticus,Tigecycline,2020.0,0.12,0.25,0.25,0.25,0.5
Acinetobacter haemolyticus,Tigecycline,2021.0,0.25,0.25,0.25,0.5,0.5500000000000007
Acinetobacter haemolyticus,Tigecycline,2022.0,0.12,0.25,0.25,0.5,0.8000000000000007
Acinetobacter haemolyticus,Tigecycline,2023.0,0.25,0.25,0.25,0.5,1.0
Acinetobacter indicus,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter indicus,Tigecycline,2023.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter johnsonii,Tigecycline,2004.0,0.078,0.105,0.12,0.215,0.38600000000000007
Acinetobacter johnsonii,Tigecycline,2006.0,0.133,0.1525,0.185,0.2175,0.237
Acinetobacter johnsonii,Tigecycline,2007.0,0.12,0.12,0.25,0.5,0.5
Acinetobacter johnsonii,Tigecycline,2008.0,0.3,0.375,0.5,0.75,0.9
Acinetobacter johnsonii,Tigecycline,2009.0,0.325,0.4375,0.625,0.8125,0.925
Acinetobacter johnsonii,Tigecycline,2010.0,0.079,0.1075,0.155,0.2025,0.231
Acinetobacter johnsonii,Tigecycline,2011.0,0.03,0.03,0.045,0.075,0.10200000000000001
Acinetobacter johnsonii,Tigecycline,2012.0,0.0165,0.0525,0.06,0.075,0.12
Acinetobacter johnsonii,Tigecycline,2013.0,0.036000000000000004,0.06,0.06,0.12,0.2240000000000001
Acinetobacter johnsonii,Tigecycline,2014.0,0.03,0.06,0.06,0.185,1.0
Acinetobacter johnsonii,Tigecycline,2015.0,0.0165,0.06,0.06,0.06,0.12
Acinetobacter johnsonii,Tigecycline,2016.0,0.03,0.03,0.06,0.06,0.12
Acinetobacter johnsonii,Tigecycline,2017.0,0.03,0.06,0.06,0.12,0.12
Acinetobacter johnsonii,Tigecycline,2018.0,0.03,0.03,0.03,0.06,0.1459999999999999
Acinetobacter johnsonii,Tigecycline,2019.0,0.03,0.06,0.06,0.12,1.0
Acinetobacter johnsonii,Tigecycline,2020.0,0.06,0.06,0.06,0.12,0.2240000000000001
Acinetobacter johnsonii,Tigecycline,2021.0,0.06,0.06,0.06,0.12,0.12
Acinetobacter johnsonii,Tigecycline,2022.0,0.06,0.06,0.06,0.12,0.25
Acinetobacter johnsonii,Tigecycline,2023.0,0.06,0.105,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2004.0,0.078,0.105,0.31,0.625,0.8500000000000001
Acinetobacter junii,Tigecycline,2005.0,0.06,0.06,0.12,0.12,0.12
Acinetobacter junii,Tigecycline,2006.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2007.0,0.096,0.12,0.25,0.25,0.5
Acinetobacter junii,Tigecycline,2008.0,0.06,0.12,0.12,0.4375,0.5
Acinetobacter junii,Tigecycline,2009.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter junii,Tigecycline,2010.0,0.09,0.12,0.185,0.4375,2.25
Acinetobacter junii,Tigecycline,2011.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2012.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2013.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter junii,Tigecycline,2014.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2015.0,0.03,0.06,0.06,0.12,0.25
Acinetobacter junii,Tigecycline,2016.0,0.06,0.105,0.12,0.25,0.27500000000000036
Acinetobacter junii,Tigecycline,2017.0,0.06,0.12,0.12,0.12,0.25
Acinetobacter junii,Tigecycline,2018.0,0.10200000000000001,0.12,0.12,0.25,0.32500000000000107
Acinetobacter junii,Tigecycline,2019.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter junii,Tigecycline,2021.0,0.06,0.12,0.25,0.25,0.5
Acinetobacter junii,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.4499999999999993
Acinetobacter junii,Tigecycline,2023.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter lactucae,Tigecycline,2021.0,0.12,0.12,0.12,0.25,0.5
Acinetobacter lactucae,Tigecycline,2022.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter lactucae,Tigecycline,2023.0,0.12,0.12,0.25,0.5,0.5
Acinetobacter lwoffii,Tigecycline,2004.0,0.03,0.06,0.06,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2005.0,0.03,0.06,0.12,0.25,0.5
Acinetobacter lwoffii,Tigecycline,2006.0,0.03,0.06,0.12,0.25,0.5
Acinetobacter lwoffii,Tigecycline,2007.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter lwoffii,Tigecycline,2008.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter lwoffii,Tigecycline,2009.0,0.06,0.12,0.25,0.25,0.5
Acinetobacter lwoffii,Tigecycline,2010.0,0.06,0.12,0.25,0.3125,1.0
Acinetobacter lwoffii,Tigecycline,2011.0,0.03,0.045,0.06,0.12,0.5
Acinetobacter lwoffii,Tigecycline,2012.0,0.03,0.03,0.06,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2013.0,0.03,0.03,0.06,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2014.0,0.03,0.03,0.06,0.06,0.12
Acinetobacter lwoffii,Tigecycline,2015.0,0.03,0.045,0.06,0.185,0.25
Acinetobacter lwoffii,Tigecycline,2016.0,0.03,0.03,0.06,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2017.0,0.03,0.06,0.06,0.12,0.12
Acinetobacter lwoffii,Tigecycline,2018.0,0.045,0.06,0.06,0.12,0.12
Acinetobacter lwoffii,Tigecycline,2019.0,0.03,0.06,0.06,0.12,0.12
Acinetobacter lwoffii,Tigecycline,2020.0,0.06,0.06,0.06,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2021.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2022.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter lwoffii,Tigecycline,2023.0,0.06,0.06,0.12,0.12,0.23699999999999982
Acinetobacter modestus,Tigecycline,2022.0,0.079,0.1075,0.155,0.2025,0.231
Acinetobacter nosocomialis,Tigecycline,2010.0,0.20800000000000002,0.33999999999999997,0.56,0.78,0.912
Acinetobacter nosocomialis,Tigecycline,2011.0,0.039,0.0525,0.075,0.0975,0.111
Acinetobacter nosocomialis,Tigecycline,2012.0,0.12,0.25,0.5,1.0,2.0
Acinetobacter nosocomialis,Tigecycline,2013.0,0.12,0.12,0.25,1.0,1.0
Acinetobacter nosocomialis,Tigecycline,2014.0,0.12,0.12,0.25,0.5,1.0
Acinetobacter nosocomialis,Tigecycline,2015.0,0.06,0.12,0.25,0.5,1.0
Acinetobacter nosocomialis,Tigecycline,2016.0,0.06,0.12,0.12,0.25,1.0
Acinetobacter nosocomialis,Tigecycline,2017.0,0.06,0.12,0.25,0.5,1.8999999999999986
Acinetobacter nosocomialis,Tigecycline,2018.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter nosocomialis,Tigecycline,2019.0,0.06,0.12,0.12,0.25,1.0
Acinetobacter nosocomialis,Tigecycline,2020.0,0.12,0.12,0.12,0.25,0.9000000000000057
Acinetobacter nosocomialis,Tigecycline,2021.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter nosocomialis,Tigecycline,2022.0,0.12,0.12,0.25,0.5,1.0
Acinetobacter nosocomialis,Tigecycline,2023.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter parvus,Tigecycline,2011.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter parvus,Tigecycline,2012.0,0.146,0.185,0.25,0.25,0.25
Acinetobacter parvus,Tigecycline,2013.0,0.12,0.12,0.25,0.25,1.0
Acinetobacter parvus,Tigecycline,2014.0,0.12,0.185,0.25,0.25,0.25
Acinetobacter parvus,Tigecycline,2015.0,0.133,0.1525,0.185,0.2175,0.237
Acinetobacter parvus,Tigecycline,2016.0,0.057,0.0975,0.12,0.12,0.12
Acinetobacter parvus,Tigecycline,2017.0,0.079,0.1075,0.155,0.2025,0.231
Acinetobacter parvus,Tigecycline,2018.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter parvus,Tigecycline,2019.0,0.045,0.075,0.185,0.25,0.625
Acinetobacter parvus,Tigecycline,2022.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter parvus,Tigecycline,2023.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter pitii,Tigecycline,2010.0,0.146,0.185,0.25,0.375,0.45
Acinetobacter pitii,Tigecycline,2011.0,0.06,0.12,0.12,0.12,0.25
Acinetobacter pitii,Tigecycline,2012.0,0.06,0.12,0.12,0.25,1.0
Acinetobacter pitii,Tigecycline,2013.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter pitii,Tigecycline,2014.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter pitii,Tigecycline,2015.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter pitii,Tigecycline,2016.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter pitii,Tigecycline,2017.0,0.06,0.06,0.12,0.25,0.5
Acinetobacter pitii,Tigecycline,2018.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter pitii,Tigecycline,2019.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter pitii,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter pitii,Tigecycline,2021.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter pitii,Tigecycline,2022.0,0.12,0.12,0.12,0.25,0.5
Acinetobacter pitii,Tigecycline,2023.0,0.12,0.12,0.185,0.25,0.5
Acinetobacter proteolyticus,Tigecycline,2019.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter proteolyticus,Tigecycline,2020.0,0.06,0.075,0.12,0.12,0.185
Acinetobacter proteolyticus,Tigecycline,2021.0,0.65,0.875,1.25,1.625,1.85
Acinetobacter proteolyticus,Tigecycline,2022.0,0.12,0.185,0.25,0.5,0.5
Acinetobacter proteolyticus,Tigecycline,2023.0,0.25,0.25,0.25,0.375,0.7000000000000002
Acinetobacter pseudolwoffii,Tigecycline,2022.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter radioresistens,Tigecycline,2004.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter radioresistens,Tigecycline,2011.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter radioresistens,Tigecycline,2012.0,0.06,0.06,0.12,0.12,0.12
Acinetobacter radioresistens,Tigecycline,2013.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter radioresistens,Tigecycline,2014.0,0.054000000000000006,0.06,0.12,0.12,0.25
Acinetobacter radioresistens,Tigecycline,2015.0,0.051000000000000004,0.06,0.12,0.12,0.25
Acinetobacter radioresistens,Tigecycline,2016.0,0.03,0.06,0.06,0.12,0.25
Acinetobacter radioresistens,Tigecycline,2017.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter radioresistens,Tigecycline,2018.0,0.06,0.06,0.06,0.12,0.23700000000000027
Acinetobacter radioresistens,Tigecycline,2019.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter radioresistens,Tigecycline,2020.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter radioresistens,Tigecycline,2021.0,0.06,0.06,0.12,0.25,0.25
Acinetobacter radioresistens,Tigecycline,2022.0,0.06,0.12,0.25,0.25,0.25
Acinetobacter radioresistens,Tigecycline,2023.0,0.12,0.12,0.25,0.25,0.25
Acinetobacter schindleri,Tigecycline,2012.0,0.06,0.06,0.06,0.09,0.108
Acinetobacter schindleri,Tigecycline,2013.0,0.057,0.0975,0.12,0.33999999999999997,0.7360000000000002
Acinetobacter schindleri,Tigecycline,2014.0,0.078,0.105,0.185,0.25,0.25
Acinetobacter schindleri,Tigecycline,2015.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter schindleri,Tigecycline,2016.0,0.03,0.03,0.03,0.03,0.03
Acinetobacter schindleri,Tigecycline,2017.0,0.039,0.0525,0.075,0.0975,0.111
Acinetobacter schindleri,Tigecycline,2018.0,0.048,0.06,0.12,0.12,0.12
Acinetobacter schindleri,Tigecycline,2019.0,0.041999999999999996,0.06,0.12,0.12,0.6480000000000001
Acinetobacter schindleri,Tigecycline,2020.0,0.078,0.105,0.12,0.1525,0.21100000000000002
Acinetobacter schindleri,Tigecycline,2021.0,0.146,0.185,0.25,0.25,0.25
Acinetobacter schindleri,Tigecycline,2022.0,0.06,0.075,0.12,0.2175,0.375
Acinetobacter schindleri,Tigecycline,2023.0,0.072,0.09,0.12,0.185,0.224
Acinetobacter seifertii,Tigecycline,2018.0,0.198,0.25,0.25,0.25,0.3500000000000001
Acinetobacter seifertii,Tigecycline,2019.0,0.06,0.09,0.12,0.25,0.4500000000000002
Acinetobacter seifertii,Tigecycline,2020.0,0.12,0.12,0.25,0.5,0.7000000000000002
Acinetobacter seifertii,Tigecycline,2021.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter seifertii,Tigecycline,2022.0,0.12,0.12,0.25,0.5,0.5
Acinetobacter seifertii,Tigecycline,2023.0,0.12,0.25,0.25,0.5,1.8000000000000007
Acinetobacter soli,Tigecycline,2021.0,0.06,0.12,0.12,0.375,0.7999999999999998
Acinetobacter soli,Tigecycline,2022.0,0.096,0.12,0.12,0.12,0.25
Acinetobacter soli,Tigecycline,2023.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter spp,Tigecycline,2019.0,0.06,0.06,0.12,0.25,0.5
Acinetobacter spp,Tigecycline,2020.0,0.12,0.12,0.5,2.0,2.0
Acinetobacter spp,Tigecycline,2021.0,0.12,0.25,0.75,2.0,2.0
Acinetobacter spp,Tigecycline,2022.0,0.12,0.12,0.5,1.0,2.0
Acinetobacter spp,Tigecycline,2023.0,0.12,0.25,0.5,2.0,2.0
Acinetobacter tandoii,Tigecycline,2019.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter tjernbergiae,Tigecycline,2012.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter tjernbergiae,Tigecycline,2013.0,0.06,0.06,0.12,0.12,0.25
Acinetobacter tjernbergiae,Tigecycline,2014.0,0.12,0.12,0.25,0.25,0.25
Acinetobacter tjernbergiae,Tigecycline,2015.0,0.048,0.075,0.12,1.06,1.624
Acinetobacter tjernbergiae,Tigecycline,2016.0,0.098,0.155,0.25,0.25,0.25
Acinetobacter tjernbergiae,Tigecycline,2017.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter tjernbergiae,Tigecycline,2019.0,0.25,0.25,0.25,0.25,0.25
Acinetobacter towneri,Tigecycline,2013.0,0.03,0.03,0.03,0.03,0.03
Acinetobacter towneri,Tigecycline,2014.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter towneri,Tigecycline,2016.0,0.024,0.0375,0.06,0.06,0.06
Acinetobacter towneri,Tigecycline,2019.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter towneri,Tigecycline,2020.0,0.06,0.06,0.06,0.06,0.06
Acinetobacter towneri,Tigecycline,2021.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter towneri,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.12
Acinetobacter ursingii,Tigecycline,2009.0,0.5,0.5,0.5,0.5,0.5
Acinetobacter ursingii,Tigecycline,2011.0,0.12,0.12,0.12,0.25,0.25
Acinetobacter ursingii,Tigecycline,2012.0,0.09,0.12,0.25,0.25,0.5
Acinetobacter ursingii,Tigecycline,2013.0,0.07200000000000001,0.12,0.12,0.25,0.4499999999999993
Acinetobacter ursingii,Tigecycline,2014.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter ursingii,Tigecycline,2015.0,0.06,0.06,0.12,0.25,0.5
Acinetobacter ursingii,Tigecycline,2016.0,0.06,0.06,0.12,0.25,0.32500000000000107
Acinetobacter ursingii,Tigecycline,2017.0,0.06,0.12,0.12,0.25,0.45000000000000107
Acinetobacter ursingii,Tigecycline,2018.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter ursingii,Tigecycline,2019.0,0.06,0.12,0.12,0.25,0.5
Acinetobacter ursingii,Tigecycline,2020.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter ursingii,Tigecycline,2021.0,0.12,0.12,0.25,0.25,0.32500000000000284
Acinetobacter ursingii,Tigecycline,2022.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter ursingii,Tigecycline,2023.0,0.12,0.12,0.25,0.25,0.5
Acinetobacter variabilis,Tigecycline,2021.0,0.08399999999999999,0.12,0.12,0.25,0.25
Acinetobacter variabilis,Tigecycline,2022.0,0.06,0.12,0.12,0.25,0.25
Acinetobacter variabilis,Tigecycline,2023.0,0.12,0.1525,0.25,0.25,0.375
Acinetobacter venetianus,Tigecycline,2022.0,0.133,0.1525,0.185,0.2175,0.237
Acinetobacter venetianus,Tigecycline,2023.0,0.25,0.25,0.25,0.25,0.25
